objava,datum,mjesec,godina,jezik,tema,tip,svidanja,komentari,sentiment_score,sentiment_label,pozitivnih_rijeci,negativnih_rijeci,duljina_znakova,duljina_rijeci,duljina_recenica,ttr_objava,tekst,tekst_en
1,2026-04-13,2026-04-01,2026,hr,hrana_prodaja,ostalo,18,56,1,pozitivan,2,1,494,94,6,0.7160493827160493,"Dobar dan! Jedno pitanje sutra putujem Zagreb-Beć-Kopenhagen avionom. Željela bi ponjeti burek iz pekare neka 4 komada u ruksaku. A budući da ću prolaziti kroz 2 check in-a nisam sigurna Jel bi negdje zapelo pa da moram onda ostaviti burek. Znam da mi je par osoba reklo da se može, ali nisam sigurna. Jel možda netko u grupi nosio burek sa sobom u ruksaku, a da mu ga nisu uzeli. Hvala","Good afternoon! One question: tomorrow I am traveling Zagreb-Vienna-Copenhagen by plane. She would like to take 4 pieces of burek from the bakery in her backpack. And since I will be going through 2 check-ins, I am not sure if it would get stuck somewhere, so if I had to leave the burek. I know that a couple of people told me that it can be done, but I'm not sure. Was it possible that someone in the group carried a burek with them in their backpack, without it being taken from them. Thanks"
2,2026-04-18,2026-04-01,2026,hr,transport_putovanja,pitanje_potreba,3,11,0,neutralan,NA,NA,66,11,1,1,Ima li ko da vrsi selidbeni transport iz Danska u Hrvatsku?,Is there anyone who does moving transport from Denmark to Croatia?
3,2026-04-17,2026-04-01,2026,hr,hrana_prodaja,ostalo,7,1,2,pozitivan,2,0,330,51,1,0.7857142857142857,"Dobar danimam visak nekoliko paketa svezih kolaca ( bajadere, cokolade oblatne, subarice( ruske kape) , jagode u cokoladi( ima jedan paket samo jagode)), javite se ulepsajte nekome dani petak veceHyggeCene su korigovane, paket od 1,500 je 300 krKolaci se preuzimaju u Ballerupu. Hvala","Good afternoon, I have several packages of fresh cakes (bajadere, chocolate wafers, subarica (Russian caps), strawberries in chocolate (there is only one package of strawberries)), get in touch, make someone's day Friday evening HyggePrices have been corrected, a package of 1,500 is 300 kr Cakes are picked up in Ballerup. Thanks"
4,2026-04-12,2026-04-01,2026,hr,hrana_prodaja,ponuda_oglas,21,6,1,pozitivan,1,0,196,32,2,0.9629629629629629,"Imam dostupno za prodaju nekoliko kilograma kolaca, svezi su pravljeni juce i jutrosMix sadrzi cupavce, ruske kape, bajadere i rum kugle.Radi brze prodaje cene du korigovsne. Kolaci se preuzimaju u Ballerupu","I have several kilos of cakes available for sale, they were freshly made yesterday and this morning. The mix contains cupavka, Russian caps, bajaders and rum balls. Cakes are collected in Ballerup"
5,2026-04-16,2026-04-01,2026,hr,ostalo,pitanje_potreba,5,3,2,pozitivan,2,0,217,39,3,0.8888888888888888,Dali u grupi ima neki avanturist da je isao ili planira ici za Hrvatsku sa biciklom tipa bikepacking? Iskustva i svaki savjet je dobro dosao Ruta bi bila odprilike ovak..gravel bike je u pitanju,Are there any adventurers in the group who have gone or are planning to go to Croatia with a bikepacking type bicycle? Experiences and any advice are welcome. The route would be roughly like this... it's a gravel bike
6,2026-04-16,2026-04-01,2026,hr,posao,pitanje_potreba,1,0,1,pozitivan,1,0,279,49,4,0.7692307692307693,"Lp trazim neki posao za sutra,prekosutra i nedjelju. Imam iskustvo na građevini mogu samostalno raditi moleraj, imam iskustva sa drvom pregradnim zidovima i tako dalje. Ako treba neko radnika na 2-3 dana slobodan sam. Kopenhagen i okolica. 71896782","I am looking for a job for tomorrow, the day after tomorrow and Sunday. I have experience in construction, I can do painting independently, I have experience with wood, partition walls and so on. If you need a worker for 2-3 days, I am free. Copenhagen and surroundings. 71896782"
7,2026-04-14,2026-04-01,2026,hr,birokracija,ostalo,5,1,1,pozitivan,2,1,220,41,2,0.7941176470588235,"Pozdrav svima, našao sam se u neugodnoj situaciji te mi trebala prijava adrese u 5. i 6. mjesecu kako bi očuvao svoj CPR broj. Postoji li neko voljan pomoći, svaka pomoć bi bila nagrađena. LP","Hello everyone, I found myself in an awkward situation and needed to register my address in the 5th and 6th months in order to preserve my CPR number. If there is anyone willing to help, any help would be appreciated. LP"
8,2026-04-12,2026-04-01,2026,hr,zdravstvo,ostalo,4,12,3,pozitivan,3,0,125,22,1,0.9444444444444444,"Pozdrav svima, Ako ovdje ima medicinskih sestara koje imaju autorizaciju a voljele bi raditi, slobodno neka me kontaktiraju.... Podrucje Sjælland","Hello everyone, If there are any licensed nurses here who would like to work, please feel free to contact me... Area Sjælland"
9,2026-04-02,2026-04-01,2026,hr,stanovanje,ponuda_oglas,2,2,1,pozitivan,1,0,277,47,8,0.9117647058823529,"Pozdrav svima! Tražimo smještaj 1.6.-1.10. Kopenhagen Dečko i ja dolazimo u Kopenhagen na DTU Offshore pisati znanstveni rad, ako netko renta stan ili znate nekoga, javite Hvala puno na pomoći. Max 11.000 kruna","Hello everyone! We are looking for accommodation 1.6.-1.10. Copenhagen My boyfriend and I are coming to Copenhagen to write a research paper at DTU Offshore. If anyone rents an apartment or knows someone, please let me know. Thank you very much for your help. Max 11,000 crowns"
10,2026-04-05,2026-04-01,2026,hr,ostalo,pitanje_potreba,0,5,0,neutralan,NA,NA,291,55,3,0.7659574468085106,"Živim u Švedskoj i mislio sam sljedeči tjedan otići prek dana u Fredrikshavn s brodom da kupim piće (na brodu) zbog velike fešte u Subotu. Baš sam se sjetio da se moooožda može kupiti rakije u nekom dučanu u Fredrikshavnu...? Ako itko zna, molim vas - napišite što prije.","I live in Sweden and was thinking of going to Fredrikshavn during the day next week with the boat to buy drinks (on the boat) because of the big party on Saturday. I just remembered that you can buy brandy in some shop in Fredrikshavn...? If anyone knows, please - write as soon as possible."
